iter	Passed	Remaining
390	37909	155999
391	38002	155888
392	38094	155772
393	38195	155688
394	38294	155601
395	38410	155581
396	38515	155517
397	38623	155465
398	38725	155386
399	38822	155290
400	38922	155205
401	39016	155093
402	39116	155008
403	39217	154929
404	39314	154832
405	39407	154717
406	39504	154621
407	39603	154533
408	39698	154426
409	39797	154336
410	39894	154239
411	39991	154143
412	40088	154044
413	40181	153931
414	40278	153836
415	40382	153764
416	40482	153677
417	40574	153562
418	40667	153449
419	40766	153360
420	40860	153252
421	40952	153135
422	41044	153018
423	41133	152892
424	41228	152786
425	41332	152715
426	41445	152678
