iter	RMSE
439	0.05651543074
440	0.0560578596
441	0.05603480611
442	0.05598296861
443	0.05595444537
444	0.05535773794
445	0.05481734261
446	0.05429064243
447	0.05397996048
448	0.05356636831
449	0.05347565816
450	0.05298201441
451	0.05248163119
452	0.05246754712
453	0.05193837126
454	0.05130630642
455	0.05083165091
456	0.05047978315
457	0.05007055418
458	0.04995940698
459	0.04969638905
460	0.04932498815
461	0.04898194952
462	0.04855504765
463	0.04813513923
464	0.04767667698
465	0.04711828207
466	0.04650494587
467	0.04613160027
468	0.04573712095
469	0.04531899559
470	0.04516973013
