iter	RMSE
0	2.416817738
1	2.358289378
2	2.293303727
3	2.240383052
4	2.187163669
5	2.142171082
6	2.096082304
7	2.058470335
8	2.015110456
9	1.979578286
10	1.943156481
11	1.90617113
12	1.873012035
13	1.839143297
14	1.809818363
15	1.780855413
16	1.748297225
17	1.718996605
18	1.694643904
19	1.670880619
20	1.642748718
21	1.617159044
22	1.592703501
23	1.570180386
24	1.548078406
25	1.526611162
26	1.508148825
27	1.488980297
28	1.474887053
29	1.459108621
30	1.437269284
31	1.421004986
32	1.405277522
33	1.391761091
34	1.374314223
35	1.357793191
36	1.341336584
37	1.326343607
38	1.312643297
39	1.298827324
40	1.286758249
41	1.275185931
42	1.262909226
43	1.251606302
44	1.242089449
45	1.230377314
46	1.220881064
47	1.209392801
48	1.200564829
49	1.194145938
50	1.179628597
51	1.174613485
52	1.162710801
53	1.151846637
54	1.141999235
55	1.12755689
56	1.113167322
57	1.103464632
58	1.093220244
59	1.087050663
60	1.078430473
61	1.070191233
62	1.063053639
63	1.053587507
64	1.042324303
65	1.034690933
66	1.028078718
67	1.022139012
68	1.012386212
69	1.005390905
70	0.9972001691
71	0.9882671637
72	0.9824389888
73	0.9740424933
74	0.9678647023
75	0.9589205499
76	0.9540244202
77	0.9470232131
78	0.9378085922
79	0.9273452121
80	0.9183997996
81	0.9115268557
82	0.9046253954
83	0.9003969237
84	0.8944469374
85	0.8875982377
86	0.8793842812
87	0.8753321429
88	0.8692816313
89	0.8635700935
90	0.8567548625
91	0.8475252299
92	0.8373206722
93	0.8319115613
94	0.8197131448
95	0.8155026123
96	0.8099965283
97	0.8043039402
98	0.798902081
99	0.7898902678
100	0.7846499381
101	0.7800477823
102	0.772656638
103	0.7656965693
104	0.7637699348
105	0.7577858789
106	0.7514679897
107	0.7470630791
108	0.7459073786
109	0.7397521846
110	0.736272702
111	0.7299573268
112	0.7215045531
113	0.7182191292
114	0.7143752951
115	0.7107779363
116	0.7022690293
117	0.6996094196
118	0.6932202499
119	0.6875953988
120	0.6787217658
121	0.6718224215
122	0.6666838855
123	0.6613458229
124	0.6552351951
125	0.6510541206
126	0.647590315
127	0.6441842149
128	0.6360815551
129	0.6288566701
130	0.6275442197
131	0.6250779214
132	0.6208261838
133	0.6203043138
134	0.6130622057
135	0.6076155011
136	0.6027725605
137	0.6023591982
138	0.5985222438
139	0.5957494827
140	0.5920561806
141	0.5890707491
142	0.585005182
143	0.5794508396
144	0.5767763772
145	0.5742321032
146	0.5715913942
147	0.5696256483
148	0.5631852679
149	0.5587077109
150	0.553062751
151	0.548359837
152	0.544398734
153	0.5403572971
154	0.5351215103
155	0.5348729839
156	0.5313434693
157	0.5282090294
158	0.5261378802
159	0.5202230331
160	0.5150934636
161	0.5123615255
162	0.5052209189
163	0.5002663288
164	0.4982909523
165	0.4930525035
166	0.4890766566
167	0.4883001895
168	0.4837177718
169	0.4833960431
170	0.4830505211
171	0.4797043514
172	0.4771456502
173	0.4723106752
174	0.4695027305
175	0.4685449125
176	0.4661197904
177	0.4621285474
178	0.4584430733
179	0.454774749
180	0.4506001519
181	0.4472866791
182	0.4441186665
183	0.4396060384
184	0.4366172912
185	0.4331041992
186	0.4328915319
187	0.4302454844
188	0.4253767151
189	0.4226582267
190	0.4189349316
191	0.4137832041
192	0.4111514203
193	0.4060405036
194	0.4059001588
195	0.402628548
196	0.3997164882
197	0.3984138252
198	0.3982609026
199	0.3939042927
200	0.3919732798
201	0.3894237236
202	0.3858771038
203	0.3815413056
204	0.3771647695
205	0.3729909769
206	0.370558159
207	0.3680169641
208	0.3678660735
209	0.3637548785
210	0.3612141776
211	0.3591106811
212	0.3550960866
213	0.3522629694
214	0.3489070631
215	0.3452292149
216	0.3441724683
217	0.3410438748
218	0.3382232935
219	0.3340512681
220	0.3297245781
221	0.3266363629
222	0.3234736668
223	0.3230683643
224	0.3205095651
225	0.3180753517
226	0.3147723824
227	0.3109659176
228	0.3108520281
229	0.307905187
230	0.3060769467
231	0.3038289514
232	0.3023037432
233	0.2992992425
234	0.296442286
235	0.2939747198
236	0.2909427271
237	0.28823186
238	0.2851496652
239	0.283982371
240	0.2809734838
241	0.2795321935
242	0.2775424451
243	0.277441171
244	0.2750485483
245	0.2737218683
246	0.2721703391
247	0.2695639427
248	0.2666724287
249	0.264401906
250	0.2620841749
251	0.2602895761
252	0.2578263388
253	0.2561319624
254	0.2528158454
255	0.2515898783
256	0.2500674763
257	0.2483988618
258	0.2454699236
259	0.2438124382
260	0.2420086302
261	0.2401490538
262	0.2378844199
263	0.2364869844
264	0.2339740995
265	0.2324279311
266	0.2292812679
267	0.2273059753
268	0.2257701037
269	0.2244312061
270	0.2219088456
271	0.2199940129
272	0.2194312299
273	0.2168714009
274	0.21580495
275	0.2127625166
276	0.2100895156
277	0.2091154322
278	0.2067855784
279	0.2050115407
280	0.2026186368
281	0.200935574
282	0.1999091373
283	0.1986249559
284	0.1969929078
285	0.1953138216
286	0.1941262769
287	0.1929480662
288	0.1921451765
289	0.1902999038
290	0.1886652424
291	0.1866350029
292	0.1852859613
293	0.1830009115
294	0.1817574444
295	0.1805600733
296	0.1788325602
297	0.1770004112
298	0.175678778
299	0.1744853389
300	0.1728033065
301	0.1713941878
302	0.1698774741
303	0.1697605073
304	0.1685546612
305	0.1672645674
306	0.1654779533
307	0.1637865766
308	0.1621799615
309	0.160867085
310	0.1593386655
311	0.1577447294
312	0.1566180568
313	0.1565044849
314	0.1549830475
315	0.1548253115
316	0.1527351439
317	0.1510717026
318	0.1501253654
319	0.1488697054
320	0.1474058044
321	0.1459662859
322	0.1443243814
323	0.1437052612
324	0.142305898
325	0.1409784051
326	0.1398584469
327	0.1390298011
328	0.138918265
329	0.1379906382
330	0.1370430898
331	0.1359309077
332	0.1348692977
333	0.1338211763
334	0.1324602685
335	0.1324149552
336	0.1317682531
337	0.1312117786
338	0.1302950765
339	0.1298056756
340	0.1291496984
341	0.1280111853
342	0.1270763234
343	0.1261719277
344	0.1248678988
345	0.1231453696
346	0.122412618
347	0.1216006967
348	0.1203451058
349	0.1190599365
350	0.1180983388
351	0.1173186927
352	0.1167509477
353	0.1156033489
354	0.1143363919
355	0.1135015012
356	0.1122486304
357	0.1114150452
358	0.110103592
359	0.1090076525
360	0.1076678038
361	0.1067639355
362	0.1058977793
363	0.1048609126
364	0.104142376
365	0.1033450433
366	0.1022883728
367	0.1011723519
368	0.1001941522
369	0.09932392302
370	0.09829758777
371	0.09792068744
372	0.09708539986
373	0.09590706986
374	0.09547646782
375	0.09454990219
376	0.0935920711
377	0.09230222985
378	0.09185747254
379	0.09083591917
380	0.09017781317
381	0.08929288027
382	0.08836339774
383	0.08764171162
384	0.08729613792
385	0.08632615356
386	0.08579611639
387	0.08485573163
388	0.084830677
389	0.08390911347
390	0.08306618788
391	0.08257909809
392	0.08211025557
393	0.08132850014
394	0.0805634841
395	0.08051546624
396	0.07993422271
397	0.0791695787
398	0.07873630585
399	0.07810461489
400	0.07762079048
401	0.07759357017
402	0.07725074223
403	0.07639908655
404	0.07555059935
405	0.07478392826
406	0.07435008294
407	0.07376222945
408	0.07295786793
409	0.07239580349
410	0.07164159668
411	0.07097604594
412	0.07031346673
413	0.06978927678
414	0.0693517276
415	0.06872950266
416	0.06814354847
417	0.06736735817
418	0.06732059999
419	0.06673190036
420	0.06626937549
421	0.06567536625
422	0.06495804399
423	0.06472303785
424	0.06425226692
425	0.0635248913
426	0.06274071498
427	0.062311277
428	0.06167466229
429	0.06119077654
430	0.06081197001
431	0.06035116887
432	0.05980204051
433	0.05940787112
434	0.0590569996
435	0.05855708421
436	0.05789910759
437	0.05733945939
438	0.05689836462
